age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
23,2,7241,11,8,2,2,5,4,0,93,0,39,38,1
27,1,15136,9,12,2,9,5,2,0,0,0,35,38,1
23,4,11756,15,9,4,2,1,4,1,0,0,34,38,1
27,2,3665,11,8,0,2,1,4,1,0,0,39,38,1
24,2,5949,9,12,2,11,5,4,0,0,0,11,38,1
13,2,5488,15,9,2,13,0,4,1,0,0,55,38,1
30,2,6980,12,13,2,0,5,4,0,96,0,37,38,1
32,2,13051,12,13,2,3,0,4,1,0,0,44,38,1
34,2,15575,6,4,2,2,0,4,1,0,0,49,38,1
32,3,25831,15,9,2,11,0,4,1,0,0,49,38,1
37,2,25165,12,13,2,9,0,4,1,0,0,44,38,1
36,2,24710,9,12,2,3,0,1,1,120,0,49,18,1
17,2,4815,9,12,2,11,5,4,0,0,0,39,38,1
21,3,9320,12,13,2,3,0,4,1,0,0,59,38,1
35,2,23270,15,9,2,12,0,2,1,0,0,39,38,1
30,2,19593,9,12,2,3,0,4,1,120,0,54,38,1
28,5,9872,11,8,0,3,4,4,0,0,0,37,38,1
15,2,16122,9,12,2,9,0,4,1,0,0,39,38,1
18,2,20099,9,12,2,9,0,4,1,0,0,44,38,1
36,2,18039,8,10,2,2,0,2,1,0,0,39,38,1
25,2,13352,8,10,2,11,0,4,1,0,0,39,38,1
56,2,23731,9,12,2,9,0,4,1,0,73,39,38,1
25,3,15753,15,9,2,3,0,4,1,0,0,39,38,1
19,2,5844,9,12,2,9,0,4,1,0,0,47,38,1
41,5,25389,11,8,2,0,0,2,1,0,0,39,38,1
22,2,13165,11,8,2,2,0,4,1,0,50,64,38,1
33,2,5146,11,8,2,2,0,4,1,0,0,39,38,1
18,2,23884,9,12,2,3,0,4,1,0,47,69,38,1
44,2,12035,6,4,0,5,1,4,1,0,0,39,32,1
42,2,9871,12,13,4,11,1,4,0,117,0,44,38,1
53,2,7923,12,13,2,11,0,4,1,100,0,3,38,1
15,1,17810,9,12,5,9,1,4,0,0,0,49,38,1
30,2,16964,8,10,2,2,0,4,1,96,0,39,38,1
28,2,3819,15,9,2,6,0,4,1,0,0,43,38,1
17,2,8103,12,13,2,9,0,4,1,96,0,54,38,1
36,2,21384,5,3,2,3,0,4,1,0,0,39,38,1
22,0,25074,11,8,2,2,0,4,1,0,0,39,38,1
34,2,19793,15,9,0,2,1,4,1,0,0,47,38,1
24,2,6720,11,8,2,11,0,4,1,0,0,48,38,1
22,2,13712,12,13,2,9,0,4,1,0,47,49,38,1
15,2,24505,12,13,0,11,1,4,0,0,0,49,38,1
12,4,10670,9,12,2,11,0,4,1,0,0,69,38,1
21,2,5018,15,9,2,2,0,4,1,96,0,39,38,1
19,2,1954,12,13,2,9,0,3,1,0,0,39,19,1
20,2,26401,12,13,4,9,1,4,0,0,0,37,38,1
17,2,19361,9,12,2,7,0,4,1,0,0,29,38,1
11,2,14683,15,9,2,11,5,4,0,0,0,39,38,1
28,2,18737,11,8,3,7,4,2,0,0,0,59,38,1
16,4,769,11,8,0,2,1,4,1,0,0,64,38,1
26,0,25577,10,15,4,9,1,4,0,0,0,49,38,1
30,2,4251,9,12,2,3,0,4,1,0,0,42,38,1
24,2,26352,9,12,2,9,0,4,1,0,0,39,38,1
27,2,14490,15,9,2,9,0,4,1,0,0,44,38,1
27,2,11033,15,9,2,11,0,4,1,0,0,39,38,1
25,1,14020,9,12,2,10,0,4,1,0,51,39,38,1
21,2,15940,9,12,2,0,5,4,0,0,0,49,38,1
28,4,23041,11,8,2,2,0,4,1,96,0,49,38,1
28,2,19598,9,12,2,11,0,4,1,0,51,39,38,1
41,2,24194,11,8,2,2,0,4,1,0,0,39,38,1
26,5,1360,11,8,2,13,0,4,1,0,0,37,38,1
30,2,11357,15,9,2,0,0,4,1,0,0,43,38,1
30,2,11457,12,13,0,9,4,4,0,0,0,49,38,1
19,2,7581,11,8,2,0,5,4,0,0,0,39,38,1
24,1,22282,14,14,2,9,0,4,1,0,81,44,38,1
24,3,7716,15,9,2,4,0,4,1,0,0,59,38,1
38,3,16620,11,8,0,11,4,4,0,0,0,49,38,1
28,1,17931,9,12,0,9,4,4,0,77,0,49,38,1
20,3,23543,9,12,2,11,0,4,1,110,0,49,38,1
33,1,1840,11,8,2,3,0,4,1,0,0,41,38,1
43,2,15323,15,9,2,13,0,4,1,0,0,39,38,1
30,2,23509,15,9,0,9,1,4,1,0,0,47,38,1
33,2,23877,11,8,2,2,0,4,1,0,0,39,38,1
25,5,23636,15,9,2,3,5,4,0,0,0,39,38,1
24,2,19150,9,12,2,3,0,4,1,0,0,49,38,1
39,2,7273,9,12,2,0,0,4,1,0,0,39,38,1
28,4,4969,9,12,2,13,0,4,1,0,0,39,38,1
32,5,25242,9,12,2,3,0,4,1,110,0,39,38,1
28,1,11348,9,12,2,2,0,4,1,0,0,34,38,1
15,2,12919,0,5,2,2,0,4,1,0,0,39,38,1
30,3,5823,14,14,2,9,0,4,1,0,81,54,38,1
30,2,14271,12,13,2,3,0,4,1,0,0,39,38,1
22,4,14242,11,8,2,3,0,4,1,0,0,59,38,1
21,2,20772,12,13,2,3,0,4,1,0,0,59,38,1
33,3,25993,12,13,2,3,0,4,1,0,0,39,38,1
29,2,12949,9,12,2,11,0,4,1,0,0,49,38,1
18,2,16683,11,8,2,11,0,4,1,0,0,54,38,1
17,2,19305,9,12,2,3,0,4,1,96,0,39,38,1
29,2,25277,15,9,2,3,0,4,1,110,0,49,38,1
19,2,18542,11,8,2,2,0,4,1,0,0,63,38,1
22,3,21659,9,12,2,3,0,4,1,93,0,39,38,1
40,4,16074,9,12,2,3,0,4,1,0,55,9,38,1
26,0,20505,9,12,0,3,1,4,1,0,0,39,38,1
24,2,26482,11,8,2,2,0,4,1,0,0,39,38,1
36,3,19911,15,9,0,11,1,4,1,99,0,49,4,1
57,5,3829,10,15,4,9,2,4,0,0,93,19,38,1
30,4,15449,14,14,4,9,1,4,1,0,0,39,38,1
43,4,24947,11,8,2,2,0,4,1,0,0,41,38,1
9,2,16784,9,12,2,9,5,4,0,0,0,39,38,1
35,2,8823,15,9,2,9,0,2,1,0,0,55,38,1
18,2,15493,14,14,2,9,0,4,1,0,55,78,38,1
32,1,17491,15,9,0,3,4,4,1,0,0,47,38,1
31,2,3525,12,13,2,9,0,4,1,0,0,49,38,1
24,2,25100,9,12,2,9,0,4,1,0,0,39,38,1
34,3,22607,11,8,2,3,0,4,1,96,0,49,38,1
41,0,15579,15,9,2,3,0,4,1,110,0,39,38,1
47,5,5912,9,12,2,2,0,4,1,0,0,44,38,1
46,4,12214,14,14,2,9,0,4,1,0,0,34,38,1
10,2,14190,10,15,2,9,0,4,1,0,0,39,38,1
14,3,19361,11,8,2,11,0,4,1,0,0,49,38,1
27,5,8734,14,14,2,9,0,4,1,110,0,73,38,1
16,2,26549,12,13,2,9,0,4,1,0,0,44,38,1
26,2,7875,8,10,2,4,0,4,1,0,0,39,38,1
22,0,15694,15,9,2,0,2,4,1,0,0,44,38,1
18,2,12673,9,12,2,11,0,4,1,0,0,39,38,1
37,2,8159,11,8,2,2,0,4,1,80,0,39,38,1
43,1,20390,9,12,2,9,5,4,0,0,0,44,38,1
19,2,5958,9,12,2,12,0,4,1,0,51,39,38,1
21,2,17638,12,13,2,3,0,4,1,0,0,49,38,1
38,2,13626,12,13,2,11,0,4,1,0,0,49,38,1
26,2,16940,9,12,2,3,0,4,1,110,0,49,38,1
21,2,11591,0,5,2,6,0,4,1,0,0,39,38,1
27,2,16722,9,12,2,12,0,4,1,0,0,39,38,1
38,2,15450,9,12,2,3,0,4,1,110,0,41,38,1
35,1,5516,12,13,2,9,0,4,1,0,0,49,38,1
28,3,24626,9,12,2,3,0,2,1,0,0,44,38,1
31,2,5703,12,13,2,9,0,4,1,0,51,39,38,1
16,2,5368,9,12,2,9,5,4,0,0,0,39,38,1
39,2,17594,15,9,2,11,0,4,1,0,0,44,38,1
19,2,11618,11,8,2,6,0,4,1,0,50,39,38,1
30,2,24629,9,12,2,3,0,4,1,0,0,44,8,1
16,2,22795,15,9,2,13,0,2,1,93,0,49,38,1
22,2,14455,9,12,2,9,0,4,1,0,50,39,38,1
39,2,16502,9,12,2,9,0,4,1,0,0,39,38,1
35,2,9090,7,11,2,10,0,4,1,0,0,39,38,1
29,1,8741,9,12,2,9,0,4,1,0,0,37,38,1
28,2,19046,11,8,2,11,0,4,1,110,0,49,38,1
29,3,21756,15,9,2,11,0,4,1,0,0,59,38,1
29,2,12039,12,13,2,9,0,4,1,110,0,49,38,1
41,2,14864,7,11,2,2,0,4,1,0,0,39,38,1
13,2,13,9,12,1,11,5,1,0,0,0,59,29,1
20,2,12555,11,8,2,5,0,2,1,0,0,39,38,1
24,2,12009,8,10,2,2,0,4,1,0,0,42,38,1
33,2,2300,10,15,2,9,0,4,1,0,0,54,38,1
38,2,18308,9,12,2,3,0,4,1,110,0,47,38,1
32,1,24506,10,15,2,9,0,4,1,0,0,44,38,1
16,2,18309,9,12,2,3,0,4,1,0,51,44,38,1
15,2,10077,11,8,2,11,0,4,1,0,51,49,38,1
27,5,8255,10,15,2,9,0,4,1,0,51,39,38,1
23,2,24776,11,8,2,5,0,4,1,110,0,44,38,1
23,2,11075,7,11,4,11,1,4,1,0,0,78,38,1
31,2,24685,10,15,2,9,0,4,1,0,0,44,38,1
30,2,14209,9,12,2,11,0,4,1,0,55,39,38,1
33,2,20329,11,8,0,2,1,4,1,0,0,39,38,1
20,2,11909,15,9,2,11,0,4,1,0,0,44,38,1
39,4,12547,15,9,2,10,0,4,1,0,0,49,38,1
18,2,3409,9,12,2,4,0,4,1,0,0,64,40,1
34,2,14748,9,12,2,3,0,4,1,0,0,44,38,1
14,5,14927,12,13,2,9,0,4,1,0,0,34,38,1
49,4,13210,14,14,2,9,0,4,1,0,0,24,38,1
50,4,9364,12,13,6,9,1,4,1,112,0,1,38,1
8,2,16784,11,8,2,12,2,4,0,0,0,47,38,1
9,2,20573,8,10,4,12,1,4,1,108,0,39,38,1
12,0,22800,15,9,2,12,0,4,1,0,0,39,38,1
16,2,8490,12,13,2,12,0,1,1,0,0,49,38,1
20,2,26,9,12,2,9,0,4,1,0,0,64,38,1
18,2,26062,9,12,2,2,0,2,1,0,0,39,38,1
25,3,13937,14,14,2,9,0,4,1,0,81,59,38,1
13,5,5420,9,12,2,9,0,4,1,0,0,36,38,1
11,2,25300,15,9,2,12,0,4,1,0,0,39,38,1
25,4,23754,9,12,2,2,0,4,1,110,0,59,38,1
46,1,15478,11,8,4,3,1,4,0,99,0,37,38,1
42,2,6628,11,8,2,2,0,4,1,0,0,39,38,1
41,4,23577,11,8,2,0,5,4,0,0,0,19,38,1
54,2,13199,9,12,4,2,1,4,1,105,0,44,38,1
21,5,6467,15,9,2,10,0,4,1,0,50,49,38,1
27,4,5002,14,14,2,9,0,4,1,0,0,59,38,1
12,2,16513,11,8,2,9,0,4,1,0,0,39,38,1
33,2,3836,9,12,2,13,0,4,1,93,0,39,38,1
47,4,20016,15,9,2,11,0,4,1,0,55,49,38,1
24,1,3861,15,9,2,4,0,4,1,0,0,39,38,1
36,2,10262,12,13,2,9,0,4,1,93,0,39,38,1
31,2,9416,15,9,0,6,1,4,1,0,0,39,38,1
29,2,10993,15,9,2,13,0,4,1,0,0,44,38,1
44,1,16214,11,8,2,9,0,4,1,0,0,29,38,1
33,2,10007,11,8,2,9,0,4,1,0,0,39,38,1
16,2,16496,12,13,2,9,0,4,1,0,0,49,38,1
43,2,12670,1,6,2,11,0,4,1,0,51,69,38,1
19,2,13418,11,8,0,13,1,4,1,99,0,44,38,1
15,2,10697,12,13,2,3,0,4,1,0,55,47,38,1
31,2,7085,8,10,2,12,0,4,1,0,0,39,38,1
9,2,7078,12,13,4,9,1,4,1,99,0,39,38,1
29,2,10131,15,9,2,3,0,4,1,0,0,59,38,1
35,5,5685,12,13,3,3,4,4,0,74,0,43,38,1
29,1,19008,7,11,2,10,0,4,1,0,50,49,38,1
41,3,12860,9,12,2,11,0,4,1,0,0,69,38,1
48,2,15408,12,13,2,11,0,4,1,113,0,39,38,1
24,2,4088,9,12,2,3,0,4,1,0,0,59,38,1
37,2,25720,12,13,2,3,0,4,1,0,0,44,38,1
28,1,18888,12,13,2,9,0,4,1,96,0,54,38,1
21,2,14370,9,12,2,3,0,4,1,93,0,49,38,1
21,2,3982,9,12,2,11,0,4,1,80,0,47,38,1
39,2,12677,15,9,2,9,0,4,1,0,0,39,38,1
36,5,9812,9,12,2,12,0,4,1,0,0,39,38,1
14,2,7250,8,10,2,11,0,4,1,0,0,39,38,1
40,0,25764,12,13,2,11,0,4,1,110,0,39,38,1
26,2,20197,12,13,2,9,0,4,1,0,51,39,38,1
16,3,21577,10,15,2,9,0,4,1,0,0,39,4,1
26,4,25187,15,9,2,4,0,4,1,0,0,59,38,1
26,1,10566,11,8,2,10,0,4,1,0,0,44,38,1
34,1,7989,12,13,2,9,0,4,1,110,0,39,38,1
34,1,5550,12,13,2,9,0,4,1,0,0,78,38,1
14,2,8333,11,8,2,6,0,4,1,0,0,39,38,1
16,2,21447,9,12,2,11,0,4,1,0,55,39,38,1
43,2,4296,11,8,2,3,0,1,1,0,0,44,38,1
23,2,5842,9,12,2,5,0,4,1,0,0,78,38,1
43,2,13672,14,14,2,3,0,4,1,0,0,39,38,1
36,4,4698,12,13,2,3,0,4,1,0,55,39,38,1
50,2,7386,1,6,2,7,0,2,1,0,0,8,38,1
37,2,22296,15,9,2,2,0,4,1,93,0,39,38,1
32,2,21566,9,12,2,11,0,4,1,0,0,44,38,1
47,3,3361,11,8,2,3,0,4,1,0,0,39,38,1
21,0,7343,12,13,2,9,0,4,1,0,0,39,19,1
31,2,7420,12,13,2,9,0,4,1,110,0,39,38,1
25,5,4920,14,14,2,9,0,1,1,0,0,70,18,1
20,2,7320,11,8,4,12,1,4,0,107,0,34,38,1
23,2,4335,8,10,2,12,0,4,1,0,0,39,38,1
21,2,21784,9,12,2,12,0,2,1,0,0,54,38,1
19,2,767,9,12,2,11,0,4,1,0,50,34,38,1
39,0,21348,9,12,2,3,0,4,1,0,0,39,32,1
30,1,12039,9,12,2,2,0,4,1,0,0,49,38,1
21,3,22894,9,12,2,11,0,4,1,0,0,54,38,1
39,3,13884,15,9,2,11,5,4,0,0,0,59,1,1
14,2,13994,9,12,4,9,1,4,0,0,0,70,38,1
50,2,24698,10,15,0,3,1,4,1,120,0,59,38,1
16,2,11710,9,12,2,3,0,4,1,0,0,49,38,1
19,2,19236,15,9,2,2,0,4,1,0,0,39,38,1
15,2,2977,15,9,2,11,0,1,1,0,0,39,38,1
36,3,15620,10,15,0,3,1,4,1,0,0,59,38,1
29,2,23546,9,12,2,3,0,4,1,0,0,54,38,1
35,1,9966,10,15,2,9,5,4,0,0,0,39,38,1
35,2,14372,11,8,2,3,0,4,1,0,0,39,38,1
15,2,25322,9,12,2,9,0,4,1,0,81,47,38,1
34,2,12046,11,8,2,11,0,4,1,0,0,47,38,1
13,4,25466,11,8,2,9,0,4,1,0,55,14,38,1
27,2,9206,14,14,2,9,0,4,1,0,0,49,38,1
29,2,20855,9,12,2,11,0,4,1,0,0,39,38,1
21,2,15109,14,14,5,9,1,4,1,0,0,34,38,1
23,2,17950,9,12,2,11,0,4,1,0,0,44,38,1
24,2,6098,15,9,2,2,0,0,1,93,0,49,38,1
53,4,7213,12,13,2,3,0,4,1,0,73,7,38,1
34,5,2924,9,12,0,3,1,4,1,0,0,59,38,1
24,2,19498,15,9,2,3,0,4,1,0,0,64,38,1
25,2,16940,9,12,2,11,0,4,1,0,0,69,38,1
17,1,570,11,8,2,10,0,4,1,0,0,52,38,1
29,2,26326,11,8,2,6,0,2,1,69,0,39,38,1
57,2,2114,15,9,2,11,0,4,1,0,0,19,38,1
32,0,12251,15,9,2,0,0,4,1,0,0,39,38,1
28,2,13723,11,8,2,5,0,2,1,93,0,39,38,1
32,2,17045,9,12,2,11,0,1,1,0,0,49,23,1
40,2,8211,6,4,2,2,0,2,1,0,0,39,38,1
19,2,8900,9,12,2,11,0,4,1,0,0,39,38,1
33,4,2792,12,13,2,11,0,4,1,96,0,54,38,1
14,2,5147,9,12,4,11,1,4,0,0,0,64,38,1
21,2,616,8,10,2,2,0,4,1,0,0,39,38,1
22,4,9925,11,8,0,4,1,4,1,99,0,49,38,1
50,2,5217,9,12,6,3,1,4,1,0,80,39,38,1
21,4,10917,14,14,4,9,1,4,1,0,90,44,38,1
23,2,16619,9,12,2,11,0,4,1,0,55,59,38,1
30,0,15884,9,12,2,3,5,4,0,0,0,39,38,1
25,2,26013,9,12,4,11,1,4,1,0,0,39,38,1
25,2,18728,9,12,2,9,0,4,1,0,0,49,38,1
73,2,1609,9,12,2,11,0,4,1,100,0,14,38,1
33,3,12200,14,14,2,9,0,4,1,0,0,44,38,1
12,2,20111,15,9,2,5,0,4,1,51,0,39,38,1
25,2,5466,11,8,2,13,0,4,1,0,0,39,38,1
22,2,8704,12,13,4,11,1,4,1,0,82,44,38,1
28,2,17264,12,13,2,12,0,4,1,0,0,49,38,1
34,2,18322,9,12,2,3,0,4,1,0,0,44,38,1
28,3,9471,9,12,2,6,0,4,1,0,0,59,38,1
28,5,991,12,13,2,9,0,4,1,0,0,59,38,1
33,3,6881,9,12,2,11,0,1,1,0,0,59,34,1
15,2,10368,14,14,4,11,1,4,0,106,0,49,38,1
12,0,23840,8,10,2,2,0,4,1,0,0,39,38,1
22,2,11975,14,14,2,2,0,4,1,96,0,39,38,1
30,3,6826,9,12,2,3,0,4,1,0,0,49,4,1
38,3,8447,11,8,2,3,0,4,1,0,55,44,38,1
47,2,4528,10,15,2,9,0,4,1,0,0,59,38,1
22,2,25823,11,8,2,3,0,2,1,96,0,44,38,1
22,2,16533,11,8,2,6,5,4,0,0,0,39,38,1
25,2,96,9,12,2,9,0,4,1,0,0,49,38,1
8,2,1679,15,9,2,3,0,4,1,0,0,39,38,1
32,5,7006,12,13,2,9,0,4,1,0,0,44,38,1
15,1,24218,7,11,2,2,0,4,1,0,0,39,38,1
33,2,11861,15,9,2,2,0,4,1,0,0,39,38,1
26,2,12923,9,12,2,3,0,1,1,0,0,49,38,1
17,2,18659,7,11,2,9,0,2,1,0,0,49,38,1
19,2,25202,9,12,2,12,0,4,1,93,0,39,10,1
11,2,4851,9,12,2,3,0,4,1,0,0,41,38,1
24,2,23122,15,9,2,13,0,4,1,0,0,47,38,1
12,2,8123,8,10,2,4,0,4,1,0,0,39,38,1
30,4,19310,11,8,2,3,0,4,1,0,0,49,38,1
39,2,22004,9,12,2,3,0,4,1,0,0,49,38,1
35,3,7878,9,12,2,3,0,4,1,0,0,49,38,1
24,3,5175,9,12,2,11,0,4,1,0,0,39,38,1
24,2,67,9,12,2,3,0,1,1,0,0,39,23,1
25,3,21102,9,12,0,12,1,4,0,0,23,59,38,1
21,0,3405,9,12,2,9,0,4,1,0,0,39,38,1
25,2,1526,15,9,2,2,0,4,1,0,0,39,38,1
36,2,7507,11,8,2,0,0,4,1,0,0,39,38,1
14,2,14101,12,13,2,3,5,4,0,0,0,39,38,1
30,2,4914,12,13,2,3,0,4,1,120,0,49,38,1
18,2,19181,15,9,5,13,1,2,0,0,0,39,38,1
25,2,4992,12,13,2,9,0,4,1,0,0,54,6,1
13,2,5878,9,12,2,3,0,4,1,0,0,44,38,1
41,2,2616,0,5,2,13,0,4,1,0,0,39,38,1
20,4,2793,11,8,2,13,0,4,1,0,0,59,38,1
16,2,22922,9,12,2,9,0,2,1,0,0,39,38,1
30,5,8834,12,13,2,9,0,4,1,0,0,44,38,1
33,4,3986,11,8,2,2,0,4,1,0,0,50,38,1
24,2,24337,15,9,2,3,5,4,0,0,51,39,38,1
24,4,16054,14,14,2,9,0,4,1,0,0,49,38,1
31,2,13915,12,13,2,2,0,4,1,0,0,53,38,1
37,2,2815,12,13,2,9,0,4,1,0,51,59,38,1
29,2,5237,9,12,2,3,0,4,1,0,0,49,38,1
19,2,2593,12,13,2,9,0,4,1,0,0,59,38,1
19,2,6206,8,10,2,0,0,4,1,0,0,39,38,1
30,4,17021,14,14,2,9,0,4,1,0,55,49,38,1
35,4,13164,11,8,2,13,0,2,1,0,0,39,13,1
29,2,7209,7,11,2,12,0,4,1,0,0,39,38,1
17,2,4749,9,12,2,13,0,1,1,0,0,39,38,1
26,3,22994,15,9,2,3,0,4,1,0,0,89,38,1
36,2,3889,11,8,2,13,0,4,1,0,0,47,38,1
52,4,19191,14,14,2,9,0,4,1,120,0,39,38,1
30,2,11483,9,12,2,3,5,2,0,0,0,34,38,1
24,1,923,9,12,2,9,0,4,1,0,0,34,38,1
37,5,4133,12,13,2,9,0,1,1,0,0,39,18,1
36,2,23095,11,8,2,13,0,4,1,0,0,59,38,1
22,4,14666,10,15,2,9,0,4,1,0,0,54,38,1
19,4,22954,9,12,0,7,4,2,1,0,0,44,38,1
32,2,4869,12,13,2,9,5,4,0,0,55,39,38,1
24,3,17434,9,12,2,11,0,4,1,0,0,59,38,1
49,2,25131,1,6,2,7,0,4,1,104,0,39,38,1
28,0,2407,11,8,2,0,0,4,1,0,0,39,38,1
37,2,10610,12,13,0,9,1,4,0,0,87,39,38,1
10,2,16974,9,12,2,9,5,4,0,93,0,44,8,1
35,3,3853,12,13,2,3,0,4,1,110,0,59,38,1
39,2,12171,9,12,0,3,4,4,1,0,0,44,38,1
28,2,4969,11,8,2,3,0,4,1,0,0,39,38,1
19,2,477,15,9,2,7,5,4,0,93,0,31,38,1
21,2,23344,9,12,2,11,0,4,1,0,0,39,38,1
45,2,4638,11,8,2,3,0,4,1,0,0,44,38,1
30,0,21628,7,11,2,0,0,2,1,0,0,39,38,1
22,2,6177,11,8,2,2,0,4,1,0,0,39,38,1
10,2,7887,11,8,2,5,0,4,1,0,0,39,38,1
17,2,16926,9,12,2,3,0,4,1,0,0,39,38,1
34,1,11144,10,15,2,9,5,2,0,0,0,39,38,1
22,2,19380,11,8,2,3,0,4,1,0,0,59,38,1
11,2,24989,9,12,4,0,1,4,1,102,0,59,38,1
16,5,23923,10,15,2,12,0,4,1,0,0,44,38,1
38,1,18172,9,12,2,9,0,4,1,0,0,39,38,1
30,2,10874,15,9,2,2,0,2,1,96,0,39,38,1
31,2,10657,9,12,2,3,0,4,1,0,0,47,38,1
47,6,16585,11,8,2,5,0,4,1,0,0,59,38,1
33,2,538,11,8,2,9,5,4,0,0,0,39,38,1
24,2,6282,15,9,2,11,0,4,1,0,0,39,38,1
42,2,4590,12,13,6,3,1,4,0,0,0,39,38,1
27,4,21624,14,14,2,9,0,4,1,120,0,49,38,1
16,2,246,8,10,2,12,5,4,0,0,0,39,38,1
39,4,18627,12,13,2,2,0,4,1,0,0,49,38,1
23,2,4714,11,8,2,11,0,4,1,0,0,51,38,1
36,2,4070,11,8,2,2,0,4,1,0,0,39,38,1
15,2,21030,11,8,2,13,0,4,1,0,0,78,38,1
22,2,1672,9,12,0,3,4,4,0,0,0,49,38,1
11,1,18357,12,13,2,3,5,4,0,0,19,39,38,1
20,5,19108,12,13,2,9,0,4,1,0,0,59,38,1
36,1,18913,12,13,2,3,0,2,1,0,0,39,38,1
22,2,17242,14,14,0,9,1,4,1,0,0,69,38,1
22,2,8976,11,8,2,11,0,4,1,0,0,49,38,1
37,3,9231,10,15,2,9,0,4,1,0,0,59,38,1
55,3,9454,14,14,2,9,0,4,1,113,0,47,38,1
42,5,24249,9,12,2,3,0,4,1,104,0,49,38,1
44,2,12473,9,12,2,9,0,4,1,110,0,49,38,1
27,2,2085,12,13,2,9,0,4,1,93,0,39,38,1
24,2,17617,14,14,2,9,0,4,1,0,0,59,38,1
17,5,24690,10,15,2,9,0,4,1,0,0,44,10,1
37,2,6554,12,13,2,9,0,4,1,0,0,39,38,1
16,2,15087,9,12,2,3,0,4,1,0,55,39,38,1
16,2,10353,9,12,2,9,0,4,1,0,0,39,38,1
30,2,15449,15,9,2,9,0,4,1,0,0,39,38,1
34,4,4207,11,8,2,4,0,4,1,0,0,54,38,1
40,2,4513,14,14,2,2,0,1,1,0,51,39,29,1
18,2,4036,9,12,2,7,0,0,1,96,0,19,38,1
14,2,13403,12,13,2,9,0,4,1,0,51,42,38,1
23,2,12181,11,8,2,6,0,4,1,0,0,44,38,1
30,2,26228,11,8,2,7,0,4,1,0,0,39,38,1
27,3,19718,15,9,2,11,0,4,1,0,0,44,38,1
19,2,31,11,8,2,2,0,4,1,96,0,49,38,1
33,2,10861,12,13,2,11,0,4,1,0,0,39,38,1
11,2,5278,1,6,2,3,0,4,1,0,0,49,38,1
35,2,18553,2,7,2,6,0,4,1,0,0,44,38,1
21,1,19941,7,11,2,10,0,4,1,0,0,55,38,1
16,2,9034,12,13,2,9,0,4,1,110,0,39,38,1
29,2,6826,9,12,2,3,0,4,1,51,0,39,38,1
36,1,18962,15,9,2,10,0,4,1,0,0,39,38,1
24,2,13149,12,13,4,9,1,4,0,117,0,34,38,1
58,2,7231,11,8,4,0,1,4,0,0,0,39,38,1
38,1,566,9,12,6,9,1,4,0,0,0,39,38,1
12,2,22106,14,14,2,9,0,4,1,93,0,47,38,1
30,5,16368,8,10,2,3,0,4,1,0,0,37,38,1
38,2,8729,10,15,2,3,0,4,1,0,0,39,38,1
36,1,13105,12,13,0,9,1,4,0,0,0,34,38,1
